Iteration, Cost, Drag, Lift, Volume, Fx, Fy, Fz
193,8.63222e-07,8.63222e-07,2.33327e-11,0.0313177,8.63222e-07,2.33327e-11,1.43014e-25
194,8.5964e-07,8.5964e-07,2.28609e-11,0.0313177,8.5964e-07,2.28609e-11,-1.73173e-25
195,8.5609e-07,8.5609e-07,2.23768e-11,0.0313177,8.5609e-07,2.23768e-11,-1.9339e-25
196,8.5257e-07,8.5257e-07,2.19297e-11,0.0313177,8.5257e-07,2.19297e-11,2.9984e-25
197,8.49081e-07,8.49081e-07,2.14778e-11,0.0313177,8.49081e-07,2.14778e-11,-1.9999e-25
198,8.45622e-07,8.45622e-07,2.10309e-11,0.0313177,8.45622e-07,2.10309e-11,-3.49955e-27
199,8.42193e-07,8.42193e-07,2.05882e-11,0.0313177,8.42193e-07,2.05882e-11,1.48926e-25
200,8.38793e-07,8.38793e-07,2.01571e-11,0.0313177,8.38793e-07,2.01571e-11,-1.23995e-25
201,8.35422e-07,8.35422e-07,1.9732e-11,0.0313177,8.35422e-07,1.9732e-11,8.60115e-26
202,8.32079e-07,8.32079e-07,1.93109e-11,0.0313177,8.32079e-07,1.93109e-11,5.5766e-25
203,8.28765e-07,8.28765e-07,1.88943e-11,0.0313177,8.28765e-07,1.88943e-11,-5.12805e-25
204,8.25478e-07,8.25478e-07,1.84898e-11,0.0313177,8.25478e-07,1.84898e-11,-6.06719e-27
205,8.22219e-07,8.22219e-07,1.80905e-11,0.0313177,8.22219e-07,1.80905e-11,-1.40795e-25
206,8.18986e-07,8.18986e-07,1.76958e-11,0.0313177,8.18986e-07,1.76958e-11,-3.18987e-25
207,8.15781e-07,8.15781e-07,1.73077e-11,0.0313177,8.15781e-07,1.73077e-11,-2.15679e-25
208,8.12601e-07,8.12601e-07,1.69447e-11,0.0313177,8.12601e-07,1.69447e-11,1.18465e-27
209,8.09448e-07,8.09448e-07,1.65475e-11,0.0313177,8.09448e-07,1.65475e-11,5.00634e-25
210,8.0632e-07,8.0632e-07,1.61749e-11,0.0313177,8.0632e-07,1.61749e-11,-8.18425e-26
211,8.03218e-07,8.03218e-07,1.5807e-11,0.0313177,8.03218e-07,1.5807e-11,-8.28417e-26
212,8.00141e-07,8.00141e-07,1.54225e-11,0.0313177,8.00141e-07,1.54225e-11,3.41885e-25
213,7.97088e-07,7.97088e-07,1.50788e-11,0.0313177,7.97088e-07,1.50788e-11,6.31075e-27
214,7.9406e-07,7.9406e-07,1.47317e-11,0.0313177,7.9406e-07,1.47317e-11,6.72606e-26
215,7.91056e-07,7.91056e-07,1.4382e-11,0.0313177,7.91056e-07,1.4382e-11,-2.38449e-25
216,7.88076e-07,7.88076e-07,1.40446e-11,0.0313177,7.88076e-07,1.40446e-11,7.58496e-26
217,7.85119e-07,7.85119e-07,1.37056e-11,0.0313177,7.85119e-07,1.37056e-11,8.66098e-26
218,7.82186e-07,7.82186e-07,1.33679e-11,0.0313177,7.82186e-07,1.33679e-11,1.66916e-25
219,7.79276e-07,7.79276e-07,1.30485e-11,0.0313177,7.79276e-07,1.30485e-11,4.40469e-25
220,7.76388e-07,7.76388e-07,1.27288e-11,0.0313177,7.76388e-07,1.27288e-11,-2.13929e-25
221,7.73522e-07,7.73522e-07,1.24117e-11,0.0313177,7.73522e-07,1.24117e-11,3.07663e-25
222,7.70679e-07,7.70679e-07,1.2098e-11,0.0313177,7.70679e-07,1.2098e-11,-3.77702e-25
223,7.67857e-07,7.67857e-07,1.17916e-11,0.0313177,7.67857e-07,1.17916e-11,-9.96093e-26
224,7.65058e-07,7.65058e-07,1.14896e-11,0.0313177,7.65058e-07,1.14896e-11,5.40566e-26
225,7.62279e-07,7.62279e-07,1.11893e-11,0.0313177,7.62279e-07,1.11893e-11,-1.60812e-25
226,7.59522e-07,7.59522e-07,1.08965e-11,0.0313177,7.59522e-07,1.08965e-11,4.22382e-25
227,7.56785e-07,7.56785e-07,1.0604e-11,0.0313177,7.56785e-07,1.0604e-11,5.10543e-26
228,7.54069e-07,7.54069e-07,1.03192e-11,0.0313177,7.54069e-07,1.03192e-11,3.52148e-25
229,7.51373e-07,7.51373e-07,1.00341e-11,0.0313177,7.51373e-07,1.00341e-11,-7.7919e-26
230,7.48698e-07,7.48698e-07,9.75763e-12,0.0313177,7.48698e-07,9.75763e-12,1.59885e-25
231,7.46042e-07,7.46042e-07,9.48105e-12,0.0313177,7.46042e-07,9.48105e-12,2.08215e-25
232,7.43406e-07,7.43406e-07,9.2118e-12,0.0313177,7.43406e-07,9.2118e-12,8.75462e-26
233,7.40789e-07,7.40789e-07,8.94356e-12,0.0313177,7.40789e-07,8.94356e-12,2.21057e-25
234,7.38192e-07,7.38192e-07,8.67902e-12,0.0313177,7.38192e-07,8.67902e-12,-1.09009e-25
235,7.35613e-07,7.35613e-07,8.41805e-12,0.0313177,7.35613e-07,8.41805e-12,-3.1409e-25
236,7.33054e-07,7.33054e-07,8.1597e-12,0.0313177,7.33054e-07,8.1597e-12,-3.09476e-25
237,7.30513e-07,7.30513e-07,7.907e-12,0.0313177,7.30513e-07,7.907e-12,-2.78396e-26
238,7.2799e-07,7.2799e-07,7.65471e-12,0.0313177,7.2799e-07,7.65471e-12,-1.24676e-25
239,7.25485e-07,7.25485e-07,7.40641e-12,0.0313177,7.25485e-07,7.40641e-12,3.04175e-25
240,7.22998e-07,7.22998e-07,7.16328e-12,0.0313177,7.22998e-07,7.16328e-12,-4.17283e-26
241,7.20529e-07,7.20529e-07,6.92301e-12,0.0313177,7.20529e-07,6.92301e-12,1.75368e-25
242,7.18078e-07,7.18078e-07,6.68553e-12,0.0313177,7.18078e-07,6.68553e-12,1.53109e-25
243,7.15644e-07,7.15644e-07,6.44692e-12,0.0313177,7.15644e-07,6.44692e-12,-3.25912e-26
